Color Name,Color Code
Soft Shell,015
Pale Pink Satin,008
Bermuda Pink,016
Phoenix Sand,017
Pink Polka Dot,004
Picante,006
Bridal Pink,2013-70
Pink Harmony,2013-60
Salmon Peach,2013-50
Pink Paradise,003
Coral Reef,012
Fan Coral,013
Soft Glow,014
Soft White,2170-70
Sunlit Coral,2170-60
Teacup Rose,2170-50
Summer Sun Pink,2012-40
Starburst Orange,2010-30
Warm Comfort,2010-20
Tomato Red,2010-10
Sun Washed,2169-70
Peach Cloud,2169-60
Malibu Peach,2169-50
Dusk Pink,2013-40
Tucson Coral,005
Piñata,007
Orange,2011-10
Coastal Cottage,1164
Conch Shell,052
Salmon Mousse,046
Savannah Clay,047
Spoonful of Sugar,041
Baked Clay,035
Cinnamon,2174-20
Bashful,1171
Odessa Pink,HC-59
Chippendale Rosetone,HC-58
Palazzo Pink,1193
Santa Rosa,1189
Salmon Stream,2173-30
Brownberry,CSP-1125
Blanched Coral,886
August Sunrise,030
Georgia Peach,031
Coral Rock,032
Golden Gate,033
Tropical Fruit,CSP-1115
Strawberry Field,2088-30
Peach Parfait,2175-70
Soft Shell,015
Pale Pink Satin,008
Bermuda Pink,016
Phoenix Sand,017
Pink Polka Dot,004
Picante,006
Bridal Pink,2013-70
Pink Harmony,2013-60
Salmon Peach,2013-50
Pink Paradise,003
Coral Reef,012
Fan Coral,013
Soft Glow,014
Soft White,2170-70
Sunlit Coral,2170-60
Teacup Rose,2170-50
Summer Sun Pink,2012-40
Starburst Orange,2010-30
Warm Comfort,2010-20
Tomato Red,2010-10
Sun Washed,2169-70
Peach Cloud,2169-60
Malibu Peach,2169-50
Dusk Pink,2013-40
Tucson Coral,005
Piñata,007
Orange,2011-10
Coastal Cottage,1164
Conch Shell,052
Salmon Mousse,046
Savannah Clay,047
Spoonful of Sugar,041
Baked Clay,035
Cinnamon,2174-20
Bashful,1171
Odessa Pink,HC-59
Chippendale Rosetone,HC-58
Palazzo Pink,1193
Santa Rosa,1189
Salmon Stream,2173-30
Brownberry,CSP-1125
Blanched Coral,886
August Sunrise,030
Georgia Peach,031
Coral Rock,032
Golden Gate,033
Tropical Fruit,CSP-1115
Strawberry Field,2088-30
Peach Parfait,2175-70
Soft Shell,015
Pale Pink Satin,008
Bermuda Pink,016
Phoenix Sand,017
Pink Polka Dot,004
Picante,006
Bridal Pink,2013-70
