"ESSEBODA, 3-seat sofa, Tallmyra/blue birch","1,349",https://www.ikea.com/us/en/p/esseboda-3-seat-sofa-tallmyra-blue-birch-s09443512/,images/esseboda.jpg,"Knäbäck anthracite, Knäbäck light beige, Current variation Tallmyra blue, Tallmyra medium gray"
"FINNALA, Sofa, with chaise/Gunnared beige","1,599",https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-gunnared-beige-s99319099/,images/finnala.jpg,"With chaise/Dalstorp multicolor, Current variation With chaise/Gunnared beige, With chaise/Gunnared medium gray, With chaise/Orrsta black-blue, With chaise/Tallmyra beige, With chaise/Tallmyra black/gray"
"HYLTARP, Loveseat, Gransel natural",949,https://www.ikea.com/us/en/p/hyltarp-loveseat-gransel-natural-s69489615/,images/hyltarp.jpg,"Gransel gray, Gransel gray-brown, Current variation Gransel natural, Hallarp white, Hemmesta gray-green, Hemmesta light beige, Kilanda pale blue, Tallmyra blue, Tallmyra dark green, Tallmyra white/black"
"FRIHETEN, Sleeper sofa, Skiftebo dark gray",749,https://www.ikea.com/us/en/p/friheten-sleeper-sofa-skiftebo-dark-gray-90341151/,images/friheten.jpg,"Bomstad black, Hyllie beige, Hyllie dark gray, Skiftebo blue, Current variation Skiftebo dark gray"
"ÄPPLARYD, Sofa, Lejde light gray","1,149",https://www.ikea.com/us/en/p/aepplaryd-sofa-lejde-light-gray-90506236/,images/äpplaryd.jpg,"Djuparp dark blue, Djuparp red-brown, Lejde gray/black, Current variation Lejde light gray"
"SÖDERHAMN, Sofa, Viarp beige/brown",769,https://www.ikea.com/us/en/p/soederhamn-sofa-viarp-beige-brown-s59305706/,images/söderhamn.jpg,"Fridtuna dark gray, Fridtuna light beige, Gransel natural, Hillared beige, Hillared dark blue, Kelinge gray-turquoise, Kelinge rust, Tallmyra dark green, Tallmyra light green, Tonerud gray, Tonerud red, Current variation Viarp beige/brown"
"VISKAFORS, Sofa, Lejde gray/green/brown","1,399",https://www.ikea.com/us/en/p/viskafors-sofa-lejde-gray-green-brown-s39443370/,images/viskafors.jpg,"Lejde anthracite, Current variation Lejde gray-green, Lejde light beige"
"HÄRLANDA, Sofa, Ljungen light green","1,149",https://www.ikea.com/us/en/p/haerlanda-sofa-ljungen-light-green-s69320264/,images/härlanda.jpg,"Inseros white, Current variation Ljungen light green, Ljungen light red, Ljungen medium gray, Sporda dark gray, Sporda natural"
"KIVIK, Loveseat, Tibbleby beige/gray",699,https://www.ikea.com/us/en/p/kivik-loveseat-tibbleby-beige-gray-s89440595/,images/kivik.jpg,"Gunnared beige, Gunnared blue, Gunnared light brown-pink, Gunnared light green, Gunnared medium gray, Kelinge gray-turquoise, Tallmyra blue, Tallmyra dark green, Tallmyra light green, Tallmyra white/black, Current variation Tibbleby beige/gray, Tresund anthracite, Tresund light beige"
"UPPLAND, Sofa with chaise, Blekinge white","1,099",https://www.ikea.com/us/en/p/uppland-sofa-with-chaise-blekinge-white-s79384118/,images/uppland.jpg,"Current variation Blekinge white, Hakebo dark gray, Hakebo gray/green, Hillared anthracite, Hillared beige, Hillared dark blue, Karlshov gray-beige, Kelinge anthracite, Kelinge beige, Kelinge gray-turquoise, Kelinge rust, Kilanda dark blue, Kilanda light beige"
"JÄTTEBO, Sectional, 3-seat, Samsala dark yellow-green","1,600",https://www.ikea.com/us/en/p/jaettebo-sectional-3-seat-samsala-dark-yellow-green-s89485131/,images/jättebo.jpg,"Current variation Samsala dark yellow-green, Samsala gray-beige, Tonerud gray"
"SMEDSTORP, Sofa, Viarp beige/brown/oak",949,https://www.ikea.com/us/en/p/smedstorp-sofa-viarp-beige-brown-oak-s39442436/,images/smedstorp.jpg,"Lejde red/brown, Current variation Viarp beige/brown"
"MORABO, Sectional, 4-seat with chaise, Gunnared dark gray/wood","1,049",https://www.ikea.com/us/en/p/morabo-sectional-4-seat-with-chaise-gunnared-dark-gray-wood-s39575898/,images/morabo.jpg,"Djuparp dark blue, Current variation Gunnared dark gray, Gunnared light green"
"LINANÄS, Loveseat, Vissle dark gray",249,https://www.ikea.com/us/en/p/linanaes-loveseat-vissle-dark-gray-00512246/,images/linanäs.jpg,"Vissle beige, Current variation Vissle dark gray"
"VINLIDEN, Sofa, Hakebo dark gray",749,https://www.ikea.com/us/en/p/vinliden-sofa-hakebo-dark-gray-s39304656/,images/vinliden.jpg,"Hakebo beige, Current variation Hakebo dark gray, Hakebo light turquoise, Hakebo/beige birch, Hakebo/dark gray birch, Hakebo/light turquoise birch, Hillared anthracite, Hillared/anthracite birch"
"UPPLAND, Loveseat, Blekinge white",749,https://www.ikea.com/us/en/p/uppland-loveseat-blekinge-white-s69384114/,images/uppland.jpg,"Current variation Blekinge white, Hakebo dark gray, Hakebo gray/green, Hillared anthracite, Hillared beige, Hillared dark blue, Karlshov gray-beige, Kelinge anthracite, Kelinge beige, Kelinge gray-turquoise, Kelinge rust, Kilanda dark blue, Kilanda light beige"
"FINNALA, Sleeper sofa, Gunnared beige","1,649",https://www.ikea.com/us/en/p/finnala-sleeper-sofa-gunnared-beige-s09542866/,images/finnala.jpg,"Dalstorp multicolor, Current variation Gunnared beige, Gunnared medium gray, Orrsta black-blue, Tallmyra beige, Tallmyra black/gray"
"BACKSÄLEN, Sofa, Blekinge white",649,https://www.ikea.com/us/en/p/backsaelen-sofa-blekinge-white-s59393152/,images/backsälen.jpg,"Current variation Blekinge white, Hallarp gray, Katorp natural"
"FINNALA, Sofa, with headrest/Tallmyra black/gray","1,234",https://www.ikea.com/us/en/p/finnala-sofa-with-headrest-tallmyra-black-gray-s29336115/,images/finnala.jpg,"With headrest/Dalstorp multicolor, With headrest/Gunnared beige, With headrest/Gunnared medium gray, With headrest/Orrsta black-blue, With headrest/Tallmyra beige, Current variation With headrest/Tallmyra black/gray"
"HYLTARP, Sofa w chaise, right, Gransel natural","1,449",https://www.ikea.com/us/en/p/hyltarp-sofa-w-chaise-right-gransel-natural-s19495831/,images/hyltarp.jpg,"Gransel gray, Gransel gray-brown, Current variation Gransel natural, Hallarp white, Hemmesta gray-green, Hemmesta light beige, Kilanda pale blue, Tallmyra blue, Tallmyra dark green, Tallmyra white/black"
"LÅNGARYD, Loveseat, Lejde light gray/wood","1,399",https://www.ikea.com/us/en/p/langaryd-loveseat-lejde-light-gray-wood-s49506041/,images/långaryd.jpg,"Lejde gray/black, Current variation Lejde light gray"
"SÖDERHAMN, Sectional, 4-seat with chaise, Fridtuna dark gray","1,179",https://www.ikea.com/us/en/p/soederhamn-sectional-4-seat-with-chaise-fridtuna-dark-gray-s49502298/,images/söderhamn.jpg,"Current variation Fridtuna dark gray, Fridtuna light beige, Gransel natural, Kelinge gray-turquoise, Kelinge rust, Tallmyra dark green, Tallmyra light green, Tonerud gray, Tonerud red, With chaise/Hillared beige, With chaise/Hillared dark blue, With chaise/Viarp beige/brown"
"KIVIK, Sectional, 4-seat with chaise, Tibbleby beige/gray","1,199",https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tibbleby-beige-gray-s89440581/,images/kivik.jpg,"Gunnared beige, Gunnared blue, Gunnared light brown-pink, Gunnared light green, Gunnared medium gray, Kelinge gray-turquoise, Tallmyra blue, Tallmyra dark green, Tallmyra light green, Tallmyra white/black, Current variation Tibbleby beige/gray, Tresund anthracite, Tresund light beige"
"FINNALA, Sleeper sofa, Gunnared beige","1,399",https://www.ikea.com/us/en/p/finnala-sleeper-sofa-gunnared-beige-s29542832/,images/finnala.jpg,"Dalstorp multicolor, Current variation Gunnared beige, Gunnared medium gray, Orrsta black-blue, Tallmyra beige, Tallmyra black/gray"
"VINLIDEN, Sofa with chaise, Hakebo dark gray",949,https://www.ikea.com/us/en/p/vinliden-sofa-with-chaise-hakebo-dark-gray-s39304680/,images/vinliden.jpg,"Hakebo beige, Current variation Hakebo dark gray, Hakebo light turquoise, Hakebo/beige birch, Hakebo/dark gray birch, Hakebo/light turquoise birch, Hillared anthracite, Hillared/anthracite birch"
"FRÖSLÖV, Sofa, Hyllie beige","1,099",https://www.ikea.com/us/en/p/froesloev-sofa-hyllie-beige-60511531/,images/fröslöv.jpg,"Current variation Hyllie beige, Hyllie dark gray"
"FINNALA, Loveseat, Gunnared beige","1,049",https://www.ikea.com/us/en/p/finnala-loveseat-gunnared-beige-s79319019/,images/finnala.jpg,"Dalstorp multicolor, Current variation Gunnared beige, Gunnared medium gray, Orrsta black-blue, Tallmyra beige, Tallmyra black/gray"
"ÄPPLARYD, Sectional, 4-seat with chaise, Lejde gray/black","1,699",https://www.ikea.com/us/en/p/aepplaryd-sectional-4-seat-with-chaise-lejde-gray-black-s69429532/,images/äpplaryd.jpg,"Djuparp dark blue, Djuparp red/brown, Current variation Lejde gray/black, Lejde light gray"
"ÄLVDALEN, Sleeper sofa, Knisa dark gray",449,https://www.ikea.com/us/en/p/aelvdalen-sleeper-sofa-knisa-dark-gray-60530643/,images/älvdalen.jpg,"Current variation Knisa dark gray, Knisa gray-beige"
"ÄLVDALEN, 3-seat sleeper sofa with chaise, Knisa dark gray",549,https://www.ikea.com/us/en/p/aelvdalen-3-seat-sleeper-sofa-with-chaise-knisa-dark-gray-50530667/,images/älvdalen.jpg,"Current variation Knisa dark gray, Knisa gray-beige"
"KIVIK, Sectional, 5-seat corner, Tibbleby beige/gray","1,449",https://www.ikea.com/us/en/p/kivik-sectional-5-seat-corner-tibbleby-beige-gray-s79440478/,images/kivik.jpg,"Gunnared beige, Gunnared blue, Gunnared light brown-pink, Gunnared light green, Gunnared medium gray, Kelinge gray-turquoise, Tallmyra blue, Tallmyra dark green, Tallmyra light green, Tallmyra white/black, Current variation Tibbleby beige/gray, Tresund anthracite, Tresund light beige"
"HOLMSUND, Sleeper sectional, 3-seat, Kilanda dark blue","1,149",https://www.ikea.com/us/en/p/holmsund-sleeper-sectional-3-seat-kilanda-dark-blue-s09516886/,images/holmsund.jpg,"Borgunda beige, Borgunda dark gray, Current variation Kilanda dark blue, Kilanda gray-brown, Nordvalla beige, Orrsta light blue"
"ÄPPLARYD, Loveseat, Lejde light gray","1,049",https://www.ikea.com/us/en/p/aepplaryd-loveseat-lejde-light-gray-50506224/,images/äpplaryd.jpg,"Djuparp dark blue, Djuparp red-brown, Lejde gray/black, Current variation Lejde light gray"
"FINNALA, Sofa with chaise, Gunnared beige","1,599",https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-gunnared-beige-s59575703/,images/finnala.jpg,"Current variation Gunnared beige, Gunnared medium gray, Orrsta black-blue, Tallmyra beige, Tallmyra black/gray"
"LÅNGARYD, Sofa w chaise, right, Lejde gray/black/wood","2,499",https://www.ikea.com/us/en/p/langaryd-sofa-w-chaise-right-lejde-gray-black-wood-s99506053/,images/långaryd.jpg,"Current variation Lejde gray/black, Lejde light gray"
"HYLTARP, Sofa w chaise, left, Gransel natural","1,449",https://www.ikea.com/us/en/p/hyltarp-sofa-w-chaise-left-gransel-natural-s79489691/,images/hyltarp.jpg,"Gransel gray, Gransel gray-brown, Current variation Gransel natural, Hallarp white, Hemmesta gray-green, Hemmesta light beige, Kilanda pale blue, Tallmyra blue, Tallmyra dark green, Tallmyra white/black"
"VINLIDEN, Loveseat, Hakebo dark gray",699,https://www.ikea.com/us/en/p/vinliden-loveseat-hakebo-dark-gray-s69304612/,images/vinliden.jpg,"Hakebo beige, Current variation Hakebo dark gray, Hakebo light turquoise, Hakebo/beige birch, Hakebo/dark gray birch, Hakebo/light turquoise birch, Hillared anthracite, Hillared/anthracite birch"
"VISKAFORS, Loveseat, Lejde light beige/brown","1,299",https://www.ikea.com/us/en/p/viskafors-loveseat-lejde-light-beige-brown-s69443260/,images/viskafors.jpg,"Lejde anthracite, Lejde gray-green, Current variation Lejde light beige"
"SMEDSTORP, Loveseat, Viarp/beige/brown oak",899,https://www.ikea.com/us/en/p/smedstorp-loveseat-viarp-beige-brown-oak-s09442428/,images/smedstorp.jpg,"Lejde red/brown, Current variation Viarp beige/brown"
"FINNALA, Sectional, 4-seat, with chaise/Gunnared beige","1,699",https://www.ikea.com/us/en/p/finnala-sectional-4-seat-with-chaise-gunnared-beige-s49319214/,images/finnala.jpg,"With chaise/Dalstorp multicolor, Current variation With chaise/Gunnared beige, With chaise/Gunnared medium gray, With chaise/Orrsta black-blue, With chaise/Tallmyra beige, With chaise/Tallmyra black/gray"
"HYLTARP, Sectional, 4-seat corner, Gransel natural","1,999",https://www.ikea.com/us/en/p/hyltarp-sectional-4-seat-corner-gransel-natural-s09514830/,images/hyltarp.jpg,"Gransel gray, Gransel gray-brown, Current variation Gransel natural, Hallarp white, Hemmesta gray-green, Hemmesta light beige, Kilanda pale blue, Tallmyra blue, Tallmyra dark green, Tallmyra white/black"
"ESSEBODA, Loveseat, Tallmyra blue/brown","1,149",https://www.ikea.com/us/en/p/esseboda-loveseat-tallmyra-blue-brown-s09443461/,images/esseboda.jpg,"Knäbäck anthracite, Knäbäck light beige, Current variation Tallmyra blue, Tallmyra medium gray"
"SMEDSTORP, Sofa with chaise, Lejde/red/brown oak","1,499",https://www.ikea.com/us/en/p/smedstorp-sofa-with-chaise-lejde-red-brown-oak-s19442442/,images/smedstorp.jpg,"Current variation Lejde red/brown, Viarp beige/brown"
"JÄTTEBO, 2.5-seat mod sofa w chaise, left/Samsala dark yellow-green","1,650",https://www.ikea.com/us/en/p/jaettebo-2-5-seat-mod-sofa-w-chaise-left-samsala-dark-yellow-green-s69469491/,images/jättebo.jpg,"Current variation Left/Samsala dark yellow-green, Left/Samsala gray-beige, Left/Tonerud gray"
"FINNALA, Sofa, with chaise with headrest/Gunnared beige","1,634",https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-gunnared-beige-s09336121/,images/finnala.jpg,"With chaise with headrest/Dalstorp multicolor, Current variation With chaise with headrest/Gunnared beige, With chaise with headrest/Gunnared medium gray, With chaise with headrest/Orrsta black-blue, With chaise with headrest/Tallmyra beige, With chaise with headrest/Tallmyra black/gray"
"PÄRUP, Sectional, 4-seat corner, Vissle gray","1,199",https://www.ikea.com/us/en/p/paerup-sectional-4-seat-corner-vissle-gray-s09389402/,images/pärup.jpg,"Fridtuna dark gray-blue, Gunnared beige, Gunnared dark gray, Kelinge gray-turquoise, Kelinge rust, Current variation Vissle gray, Vissle yellow-brown"
"BACKSÄLEN, Sofa with chaise, Blekinge white",849,https://www.ikea.com/us/en/p/backsaelen-sofa-with-chaise-blekinge-white-s59393185/,images/backsälen.jpg,"Current variation Blekinge white, Hallarp gray, Katorp natural"
"MORABO, 5-seat sofa with chaises, Gunnared light green/wood","1,399",https://www.ikea.com/us/en/p/morabo-5-seat-sofa-with-chaises-gunnared-light-green-wood-s79442397/,images/morabo.jpg,"Djuparp dark blue, Gunnared dark gray, Current variation Gunnared light green"
"SÖDERHAMN, Loveseat, with chaise/Viarp beige/brown",769,https://www.ikea.com/us/en/p/soederhamn-loveseat-with-chaise-viarp-beige-brown-s89305757/,images/söderhamn.jpg,"Fridtuna dark gray, Fridtuna light beige, Gransel natural, Kelinge gray-turquoise, Kelinge rust, Tonerud gray, Tonerud red, Current variation With chaise/Viarp beige/brown"
"SLATORP, Sofa, with chaise/Tallmyra white/black","1,499",https://www.ikea.com/us/en/p/slatorp-sofa-with-chaise-tallmyra-white-black-50512258/,images/slatorp.jpg,
"ÄPPLARYD, Sofa with chaise, Lejde light gray","1,599",https://www.ikea.com/us/en/p/aepplaryd-sofa-with-chaise-lejde-light-gray-s99418042/,images/äpplaryd.jpg,"Djuparp dark blue, Djuparp red/brown, Lejde gray/black, Current variation Lejde light gray"
"UPPLAND, Sectional, 4-seat corner, Hakebo dark gray","1,499",https://www.ikea.com/us/en/p/uppland-sectional-4-seat-corner-hakebo-dark-gray-s69442454/,images/uppland.jpg,"Blekinge white, Current variation Hakebo dark gray, Hakebo gray/green, Hillared anthracite, Hillared beige, Hillared dark blue, Karlshov gray-beige, Kelinge anthracite, Kelinge beige, Kelinge gray-turquoise, Kelinge rust, Kilanda dark blue, Kilanda light beige"
"HÄRLANDA, Sleeper sofa, Ljungen light green","1,399",https://www.ikea.com/us/en/p/haerlanda-sleeper-sofa-ljungen-light-green-s99542782/,images/härlanda.jpg,"Inseros white, Current variation Ljungen light green, Ljungen light red, Ljungen medium gray, Sporda dark gray, Sporda natural"
"BACKSÄLEN, Loveseat, Blekinge white",599,https://www.ikea.com/us/en/p/backsaelen-loveseat-blekinge-white-s79393170/,images/backsälen.jpg,"Current variation Blekinge white, Hallarp gray, Katorp natural"
"HÄRLANDA, Sectional, 4-seat, with chaise/Ljungen medium gray","2,149",https://www.ikea.com/us/en/p/haerlanda-sectional-4-seat-with-chaise-ljungen-medium-gray-s99320314/,images/härlanda.jpg,"With chaise/Inseros white, With chaise/Ljungen light green, With chaise/Ljungen light red, Current variation With chaise/Ljungen medium gray, With chaise/Sporda dark gray, With chaise/Sporda natural"
"JÄTTEBO, 4.5-seat mod sofa, Samsala gray-beige","1,740",https://www.ikea.com/us/en/p/jaettebo-4-5-seat-mod-sofa-samsala-gray-beige-s49485086/,images/jättebo.jpg,"Samsala dark yellow-green, Current variation Samsala gray-beige, Tonerud gray"
"VRETSTORP, Sleeper sofa, Hakebo dark gray",999,https://www.ikea.com/us/en/p/vretstorp-sleeper-sofa-hakebo-dark-gray-s29491253/,images/vretstorp.jpg,"Current variation Hakebo dark gray, Hakebo gray-green, Karlshov gray-beige, Kilanda dark blue, Kilanda light beige"
"LÅNGARYD, Sofa, Lejde gray/black/wood","1,799",https://www.ikea.com/us/en/p/langaryd-sofa-lejde-gray-black-wood-s89506044/,images/långaryd.jpg,"Current variation Lejde gray/black, Lejde light gray"
"SÖDERHAMN, Sectional, 4-seat, with chaise and open end/Viarp beige/brown","1,199",https://www.ikea.com/us/en/p/soederhamn-sectional-4-seat-with-chaise-and-open-end-viarp-beige-brown-s39305825/,images/söderhamn.jpg,"And open end Fridtuna/dark gray, And open end Kelinge/rust, And open end Tonerud/gray, And open end Tonerud/red, And open end/Fridtuna light beige, Current variation With chaise and open end/Viarp beige/brown, With open end Gransel/natural"
"HYLTARP, Sleeper sofa, Gransel natural","1,449",https://www.ikea.com/us/en/p/hyltarp-sleeper-sofa-gransel-natural-s99489591/,images/hyltarp.jpg,"Gransel gray, Gransel gray-brown, Current variation Gransel natural, Hallarp white, Hemmesta gray-green, Hemmesta light beige, Kilanda pale blue, Tallmyra blue, Tallmyra dark green, Tallmyra white/black"
"BÅRSLÖV, Sleeper sofa, Tibbleby beige/gray",999,https://www.ikea.com/us/en/p/barsloev-sleeper-sofa-tibbleby-beige-gray-60541585/,images/bårslöv.jpg,"Current variation Tibbleby beige/gray, Tibbleby light gray-turquoise"
"JÄTTEBO, Modular loveseat, Samsala dark yellow-green","1,500",https://www.ikea.com/us/en/p/jaettebo-modular-loveseat-samsala-dark-yellow-green-s69471413/,images/jättebo.jpg,"Current variation Samsala dark yellow-green, Samsala gray-beige, Tonerud gray"
"MORABO, Sleeper sofa, Gunnared dark gray/wood","1,199",https://www.ikea.com/us/en/p/morabo-sleeper-sofa-gunnared-dark-gray-wood-s79491321/,images/morabo.jpg,"Gunnared dark gray/metal, Current variation Gunnared dark gray/wood, Gunnared light green/metal, Gunnared light green/wood"
"KIVIK, Sectional 6-seat crn/chaise, Tibbleby beige/gray","1,899",https://www.ikea.com/us/en/p/kivik-sectional-6-seat-crn-chaise-tibbleby-beige-gray-s09440486/,images/kivik.jpg,"Gunnared beige, Gunnared blue, Gunnared light brown-pink, Gunnared light green, Gunnared medium gray, Kelinge gray-turquoise, Tallmyra blue, Tallmyra dark green, Tallmyra light green, Tallmyra white/black, Current variation Tibbleby beige/gray, Tresund anthracite, Tresund light beige"
"MORABO, Sectional, 5-seat corner, Gunnared dark gray/wood","1,799",https://www.ikea.com/us/en/p/morabo-sectional-5-seat-corner-gunnared-dark-gray-wood-s99318311/,images/morabo.jpg,"Djuparp dark blue, Current variation Gunnared dark gray, Gunnared light green"
"HÄRLANDA, Loveseat, Ljungen medium gray","1,049",https://www.ikea.com/us/en/p/haerlanda-loveseat-ljungen-medium-gray-s79320254/,images/härlanda.jpg,"Inseros white, Ljungen light green, Ljungen light red, Current variation Ljungen medium gray, Sporda dark gray, Sporda natural"
"KIVIK, Sectional, 4-seat corner, Tibbleby beige/gray","1,399",https://www.ikea.com/us/en/p/kivik-sectional-4-seat-corner-tibbleby-beige-gray-s69440474/,images/kivik.jpg,"Gunnared beige, Gunnared blue, Gunnared light brown-pink, Gunnared light green, Gunnared medium gray, Kelinge gray-turquoise, Tallmyra blue, Tallmyra dark green, Tallmyra light green, Tallmyra white/black, Current variation Tibbleby beige/gray, Tresund anthracite, Tresund light beige"
"FINNALA, Sofa, with open end/Gunnared beige","1,293",https://www.ikea.com/us/en/p/finnala-sofa-with-open-end-gunnared-beige-s69319086/,images/finnala.jpg,"With open end/Dalstorp multicolor, Current variation With open end/Gunnared beige, With open end/Gunnared medium gray, With open end/Orrsta black-blue, With open end/Tallmyra beige, With open end/Tallmyra black/gray"
"HÄRLANDA, Sectional, 5-seat corner, with chaise/Ljungen light green","2,849",https://www.ikea.com/us/en/p/haerlanda-sectional-5-seat-corner-with-chaise-ljungen-light-green-s09320337/,images/härlanda.jpg,"With chaise/Inseros white, Current variation With chaise/Ljungen light green, With chaise/Ljungen light red, With chaise/Ljungen medium gray, With chaise/Sporda dark gray, With chaise/Sporda natural"
"SÖDERHAMN, Sectional, 3-seat corner, Viarp beige/brown",928,https://www.ikea.com/us/en/p/soederhamn-sectional-3-seat-corner-viarp-beige-brown-s59305891/,images/söderhamn.jpg,"Fridtuna dark gray, Fridtuna light beige, Hillared beige, Hillared dark blue, Kelinge gray-turquoise, Kelinge rust, Tallmyra dark green, Tallmyra light green, Tonerud gray, Tonerud red, Current variation Viarp beige/brown"
"SMEDSTORP, Sectional, 4-seat with chaise, Viarp/beige/brown oak","1,549",https://www.ikea.com/us/en/p/smedstorp-sectional-4-seat-with-chaise-viarp-beige-brown-oak-s59478349/,images/smedstorp.jpg,"Lejde red/brown, Current variation Viarp beige/brown"
"JÄTTEBO, 4-seat mod sofa w chaise, right/Samsala dark yellow-green","2,450",https://www.ikea.com/us/en/p/jaettebo-4-seat-mod-sofa-w-chaise-right-samsala-dark-yellow-green-s59485203/,images/jättebo.jpg,"Current variation Right/Samsala dark yellow-green, Right/Samsala gray/beige, Right/Tonerud gray"
