Title,Price,Link,Colors,Image Path
Dario 79'' Upholstered Chesterfield Sofa,$740,https://www.allmodern.com/furniture/pdp/dario-79-velvet-rolled-arm-chesterfield-sofa-with-reversible-cushions-a000880228.html,", , Blush Pink Velvet, Emerald Velvet , Platinum Velvet , Rust Velvet , Sand Velvet",Imgs/Dario+79''+Upholstered+Chesterfield+Sofa.jpg
Berger 98'' Upholstered Sofa,"$2,399",https://www.allmodern.com/furniture/pdp/berger-98-flared-arm-sofa-a000445492.html,", , Aldred Silver, Gray",Imgs/Berger+98''+Upholstered+Sofa.jpg
Generation 82'' Upholstered Sofa,$950,https://www.allmodern.com/furniture/pdp/generation-82-upholstered-sofa-a001140720.html,", , Sapphire Dark Grey Performance Velvet, Sapphire Rust Performance Velvet, Sapphire Mouse Grey Performance Velvet",Imgs/Generation+82''+Upholstered+Sofa.jpg
"Portman 94"" Upholstered Sofa","$2,650",https://www.allmodern.com/furniture/pdp/portman-94-upholstered-sofa-a000502551.html,", , Oat Velvet, Blush Velvet, Gray Velvet","Imgs/Portman+94""+Upholstered+Sofa.jpg"
Addison 2 - Piece Leather Chaise L-Sectional,"$4,700",https://www.allmodern.com/furniture/pdp/addison-998-wide-genuine-leather-sofa-chaise-a000363217.html,", , Black/Walnut, Tan Aniline/Walnut",Imgs/Addison+2+-+Piece+Leather+Chaise+L-Sectional.jpg
"Crew 83"" Square Arm Sofa","$2,499",https://www.allmodern.com/furniture/pdp/crew-83-square-arm-sofa-a001073134.html,", , Dark Green, Mustard","Imgs/Crew+83""+Square+Arm+Sofa.jpg"
Wilmette 82'' Upholstered Sofa,"$2,870",https://www.allmodern.com/furniture/pdp/wilmette-82-genuine-leather-square-arm-sofa-a000498774.html,", ",Imgs/Wilmette+82''+Upholstered+Sofa.jpg
Lakeith 82'' Upholstered Sofa,"$2,480",https://www.allmodern.com/furniture/pdp/lakeith-82-round-arm-cursofa-a001148635.html,", , Blanc Polyester Blend, Gris Polyester Blend, Revel 100% Polyester",Imgs/Lakeith+82''+Upholstered+Sofa.jpg
"Jones 68.9"" Loveseat",$880,https://www.allmodern.com/furniture/pdp/jones-689-loveseat-a110008060.html,", , Flavio Antrazite Polyester Blend, Flavio Army Polyester Blend, Flavio Dusty Blue Polyester Blend, Sapphire Beige Polyester Blend, Sapphire Mouse Grey Performance Velvet","Imgs/Jones+68.9""+Loveseat.jpg"
Leno 86'' Upholstered Sofa,$920,https://www.allmodern.com/furniture/pdp/leno-86-upholstered-sofa-a000441176.html,", Amber Angel Chenille, Burnt Umber Performance Basketweave, Cloud Fine Textured Boucle, Cream Lux Chenille, Cute Mushroom Performance Basketweave",Imgs/Leno+86''+Upholstered+Sofa.jpg
Wanetta 88'' Upholstered Sofa With Solid Wood Leg,"$1,200",https://www.allmodern.com/furniture/pdp/wanetta-88-upholstered-sofa-with-solid-wood-leg-kkah1348.html,", Luna Charcoal Performance Polyester, Luna Cream Performance Polyester, Soren Ochre Performance Velvet, Soren Olivine Performance Velvet",Imgs/Wanetta+88''+Upholstered+Sofa+With+Solid+Wood+Leg.jpg
Elsmere 81'' Upholstered Convertible Sofa,"$1,260",https://www.allmodern.com/furniture/pdp/elsmere-81-upholstered-convertible-sofa-a110002151.html,", Venga Antrazite Performance Basketweave, Venga Cream Performance Cross Weave, Venga Dust Blue Performance Basketweave, Venga Light Grey Performance Cross Weave",Imgs/Elsmere+81''+Upholstered+Convertible+Sofa.jpg
"Geo 84"" Vegan Leather Sofa",$960,https://www.allmodern.com/furniture/pdp/geo-84-vegan-leather-sofa-a100002570.html,", Black Faux Leather, Gray Faux Leather, Saddle Faux Leather","Imgs/Geo+84""+Vegan+Leather+Sofa.jpg"
Rae 60'' Upholstered Loveseat,"$1,100",https://www.allmodern.com/furniture/pdp/rae-60-upholstered-loveseat-kkah1060.html,", Dark Gray, Effie Indigo Performance Linen, Effie Linen Performance Linen, Green , Brown ",Imgs/Rae+60''+Upholstered+Loveseat.jpg
Ameriya 50'' Upholstered Loveseat,$520,https://www.allmodern.com/furniture/pdp/ameriya-southview-upholstered-loveseat-a000762080.html,", Dark Gray , Turmeric , White ",Imgs/Ameriya+50''+Upholstered+Loveseat.jpg
"Devale 80"" Upholstered Sofa",$800,https://www.allmodern.com/furniture/pdp/devale-80-upholstered-sofa-a000827355.html,", Dust Blue, Gray, Light Gray","Imgs/Devale+80""+Upholstered+Sofa.jpg"
Craner 94'' Upholstered Sofa,"$3,350",https://www.allmodern.com/furniture/pdp/craner-upholstered-3-seater-sofa-mbxl1193.html,,Imgs/Craner+94''+Upholstered+Sofa.jpg
