Title,Link,Sale Price,Regular Price,Image Path,Swatch Colors
"Andes 3-Piece Ottoman Sectional (90""–105"")",https://www.westelm.com/products/andes-3-piece-chaise-sectional-h1815/?pkey=csectionals,"2,293.30","4,798","images/Andes_3-Piece_Ottoman_Sectional_(90""–105"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Petrol"
"Shelter 2-Piece Bumper Chaise Sectional (105.5"")",https://www.westelm.com/products/shelter-2-piece-terminal-chaise-sectional-h1701/?pkey=csectionals,"2,803.30","3,898","images/Shelter_2-Piece_Bumper_Chaise_Sectional_(105.5"").jpg","Performance Yarn Dyed Linen Weave, Sand, Performance Yarn Dyed Linen Weave, Camel, Performance Yarn Dyed Linen Weave, Petrol, Yarn Dyed Linen Weave, Alabaster"
"Harmony Modular 2-Piece Chaise Sectional (122"")",https://www.westelm.com/products/harmony-modular-2-piece-chaise-sectional-h6267/?pkey=csectionals,"3,398.30","4,998","images/Harmony_Modular_2-Piece_Chaise_Sectional_(122"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Parker 2-Piece Chaise Sectional (108"")",https://www.westelm.com/products/parker-2-piece-chaise-sectional-h9538/?pkey=csectionals,"2,973.30","4,748","images/Parker_2-Piece_Chaise_Sectional_(108"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Hargrove 2-Piece Chaise Sectional (111"")",https://www.westelm.com/products/hargrove-2-piece-chaise-sectional-h9533/?pkey=csectionals,"2,558.40","4,198","images/Hargrove_2-Piece_Chaise_Sectional_(111"").jpg","Yarn Dyed Linen Weave, Pewter, Yarn Dyed Linen Weave, Graphite, Yarn Dyed Linen Weave, Frost Gray, Yarn Dyed Linen Weave, Sand"
"Leo Motion Reclining 3-Piece Reversible Chaise Sectional (125"")",https://www.westelm.com/products/leo-motion-3-piece-reversible-chaise-sectional-h12008/?pkey=csectionals,"3,195","4,745","images/Leo_Motion_Reclining_3-Piece_Reversible_Chaise_Sectional_(125"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Sand, Yarn Dyed Linen Weave, Graphite"
"Melbourne Leather 2-Piece Bumper Chaise Sectional (116""–126"")",https://www.westelm.com/products/melbourne-leather-2-piece-bumper-chaise-sectional-h11162/?pkey=csectionals,"5,698","6,198","images/Melbourne_Leather_2-Piece_Bumper_Chaise_Sectional_(116""–126"").jpg","Saddle Leather, Nut, Saddle Leather, Oxblood, Saddle Leather, Slate, Saddle Leather, Banker"
"Laurent Leather 2-Piece Wedge Chaise Sectional (111.5"")",https://www.westelm.com/products/laurent-leather-2-piece-wedge-chaise-sectional-h12459/?pkey=csectionals,"3,758","4,898","images/Laurent_Leather_2-Piece_Wedge_Chaise_Sectional_(111.5"").jpg","Saddle Leather, Nut, Ludlow Leather, Gray Smoke, Ludlow Leather, Sand, Ludlow Leather, Sesame"
"Laurent Leather 3-Piece L-Shaped Wedge Sectional (111.5"")",https://www.westelm.com/products/laurent-leather-3-piece-l-shaped-wedge-sectional-h12463/?pkey=csectionals,"5,198","6,797","images/Laurent_Leather_3-Piece_L-Shaped_Wedge_Sectional_(111.5"").jpg","Saddle Leather, Nut, Ludlow Leather, Gray Smoke, Ludlow Leather, Sand, Ludlow Leather, Sesame"
"Nassau 2-Piece Chaise Sectional (122"")",https://www.westelm.com/products/nassau-2-piece-chaise-sectional-h12314/?pkey=csectionals,"3,498","4,498","images/Nassau_2-Piece_Chaise_Sectional_(122"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
