Title,Price,Link,Image Path,Colors
"Monstera Adansonii, Buy a Monstera Adansonii indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/monstera-adansonii/,https://bloomscape.com/wp-content/uploads/2019/11/bloomscape_monstera-adansonii_md_indigo-scaled-e1625250472388-324x389.jpg?ver=440340,"Stone, Clay, Charcoal, Slate, Indigo"
"Burgundy Rubber Tree, Buy a Burgundy Rubber Tree indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$99,https://bloomscape.com/product/burgundy-rubber-tree-lg/,https://bloomscape.com/wp-content/uploads/2022/08/bloomscape_burgundy-rubber-tree_lg_charcoal-324x389.jpg?ver=927090,"Stone, Clay, Charcoal, Slate, Indigo"
"Money Tree Forest, Buy a Money Tree Forest indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$89,https://bloomscape.com/product/money-tree-forest/,https://bloomscape.com/wp-content/uploads/2020/10/bloomscape_money-tree-forest_stone-e1667582350473-324x389.jpg?ver=313689,"Stone, Clay, Charcoal, Slate, Indigo"
"Mister, Provide your plants with humidity using the Mossify Mistr, an automatic continuous mister perfect for indoor houseplant care",$50,https://bloomscape.com/product/mister/,images/mister.jpg,
"Eureka Lemon Tree, Buy the Eureka Lemon Tree pre-potted in a stone pot. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/eureka-lemon-tree/,images/eurekalemontree.jpg,
"Variegated Pink Lemon Tree, Buy the Variegated Pink Lemon Tree pre-potted in a stone pot. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/variegated-pink-lemon-tree/,https://bloomscape.com/wp-content/uploads/2023/06/230618_bloomscape_lemon_trees_0027-1-e1688415704637-324x389.jpg?ver=1046177,
"Monstera, Buy a Monstera Deliciosa indoor plant with 5 pot color options and get free delivery. 30-Day Guarantee on all plants, plus expert plant care support.",$169,https://bloomscape.com/product/monstera/,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_monstera_stone-e1633461206253-324x389.jpg?ver=279423,"Stone, Clay, Charcoal, Slate, Indigo"
"ZZ Plant, Buy an indoor ZZ Plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$149,https://bloomscape.com/product/zz-plant/,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_zz-plant_charcoal-e1625251444532-324x389.jpg?ver=279472,"Stone, Clay, Charcoal, Slate, Indigo"
"Red Anthurium, Buy an Anthurium Red indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$49,https://bloomscape.com/product/red-anthurium/,images/redanthurium.jpg,"Stone, Charcoal, Slate, Indigo"
"Bromeliad Summer, Buy potted Bromeliad Summer, 5 pot color options. 30-Day Guarantee on all plants, plus expert plant care support.",$49,https://bloomscape.com/product/bromeliad-summer/,images/bromeliadsummer.jpg,"Stone, Charcoal, Slate, Indigo, White"
