Title,Description,Price Range,Link,Image Path,Colors
Composed™,Single-handle bathroom sink faucets with lever handle,$524.92 - $839.89,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/composed-single-handle-bathroom-sink-faucet-with-lever-handle-73167-4?skuId=73167-4-CP,kohler\K-73167-4-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Composed™,Single-handle bathroom sink faucets with lever handle,"$657.64 - $1,052.25",/en/products/bathroom-faucets/shop-bathroom-sink-faucets/composed-tall-single-handle-bathroom-sink-faucet-with-lever-handle-73168-4?skuId=73168-4-CP,kohler\K-73168-4-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Simplice™,Single-handle bathroom sink faucets with lever handle,$225.00 - $303.75,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/simplice-single-handle-bathroom-sink-faucet-1-0-gpm-27389-4k?skuId=27389-4K-CP,kohler\K-27389-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Nickel,Matte Black"
Honesty™,Single-handle bathroom sink faucets with lever handle,$328.27 - $476.02,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/honesty-single-handle-bathroom-sink-faucet-1-2-gpm-99760-4?skuId=99760-4-CP,kohler\K-99760-4-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Avid™,Single-handle bathroom sink faucets with lever handle,$390.00 - $565.50,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/avid-single-handle-bathroom-sink-faucet-97345-4k?skuId=97345-4K-CP,kohler\K-97345-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Avid™,Single-handle bathroom sink faucets with lever handle,$528.60 - $786.26,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/avid-single-handle-bathroom-sink-faucet-97347-4k?skuId=97347-4K-CP,kohler\K-97347-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Alteo™,Single-handle bathroom sink faucets with lever handle,$225.00 - $303.75,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/alteo-single-handle-bathroom-sink-faucet-45800-4?skuId=45800-4-CP,kohler\K-45800-4-CP.jpg,"Polished Chrome,Vibrant Brushed Nickel"
Artifacts™,Single-handle bathroom sink faucets with lever handle,$577.54 - $924.07,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/artifacts-single-handle-bathroom-sink-faucet-72762-9m?skuId=72762-9M-CP,kohler\K-72762-9M-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Artifacts™ Gentleman's™,Single-handle bathroom sink faucets with lever handle,"$653.40 - $1,045.46",/en/products/bathroom-faucets/shop-bathroom-sink-faucets/artifacts-gentleman-s-single-handle-bathroom-sink-faucet-72763-9m?skuId=72763-9M-CP,kohler\K-72763-9M-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Bancroft™,Single-handle bathroom sink faucets with lever handles,$320.85 - $433.16,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/bancroft-monoblock-single-hole-bathroom-sink-faucet-with-escutcheon-and-metal-lever-handles-10579-4?skuId=10579-4-CP,kohler\K-10579-4-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Brushed Nickel"
Bellera™,Single-handle bathroom sink faucets with lever handle,$225.00 - $326.25,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/bellera-single-handle-bathroom-sink-faucet-1-0-gpm-27379-4k?skuId=27379-4K-CP,kohler\K-27379-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Nickel,Oil-Rubbed Bronze"
Elate™,Single-handle bathroom sink faucets with lever handle,$243.75 - $353.44,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/elate-single-control-bathroom-sink-faucet-99491-4?skuId=99491-4-CP,kohler\K-99491-4-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Hint™,Single-handle bathroom sink faucets with lever handle,$205.87 - $298.54,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/hint-single-handle-bathroom-sink-faucet-97060-4?skuId=97060-4-CP,kohler\K-97060-4-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Hint™,Single-handle bathroom sink faucets with lever handle,$225.75 - $327.34,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/hint-single-handle-bathroom-sink-faucet-with-escutcheon-97061-4?skuId=97061-4-CP,kohler\K-97061-4-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
