Title,Link,Sale Price,Regular Price,Image Path,Swatch Colors
"Big Sur Square Arm Slipcovered Chaise Sectional (114""–156"")",https://www.potterybarn.com/products/big-sur-square-arm-slipcovered-sofa-with-chaise-sectional/?pkey=cbig-sur-sofas-sectionals&cm_sp=ossa-17548_bestseller_variant,"3,399","6,148","images/Big_Sur_Square_Arm_Slipcovered_Chaise_Sectional_(114""–156"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
Big Sur Square Arm Swivel Chair,https://www.potterybarn.com/products/big-sur-square-arm-upholstered-swivel-armchair/?pkey=cbig-sur-sofas-sectionals,"1,399","2,399",images/Big_Sur_Square_Arm_Swivel_Chair.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Leather 3-Piece Wedge Sectional (123"")",https://www.potterybarn.com/products/big-sur-square-arm-leather-3-piece-wedge-sectional/?pkey=cbig-sur-sofas-sectionals,"6,967","8,197","images/Big_Sur_Square_Arm_Leather_3-Piece_Wedge_Sectional_(123"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
"Big Sur Square Arm Leather Chaise Sectional (114""–156"")",https://www.potterybarn.com/products/big-sur-square-arm-leather-sofa-with-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"5,183","6,998","images/Big_Sur_Square_Arm_Leather_Chaise_Sectional_(114""–156"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
"Big Sur Square Arm Deep Seat Slipcovered Double Chaise Sectional (146""–198"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-slipcovered-u-shaped-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"5,604","9,897","images/Big_Sur_Square_Arm_Deep_Seat_Slipcovered_Double_Chaise_Sectional_(146""–198"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
"Big Sur Square Arm Slipcovered Double Chaise Sectional (146""–198"")",https://www.potterybarn.com/products/big-sur-square-arm-slipcovered-u-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"4,839","8,997","images/Big_Sur_Square_Arm_Slipcovered_Double_Chaise_Sectional_(146""–198"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Slipcovered Return Bumper Sectional (114""–146"")",https://www.potterybarn.com/products/big-sur-square-slipcovered-return-bumper-sectional/?pkey=cbig-sur-sofas-sectionals,"4,119","6,598","images/Big_Sur_Square_Arm_Slipcovered_Return_Bumper_Sectional_(114""–146"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Pebble, Performance Everydaylinen™, Oatmeal, Performance Everydaylinen™, Ivory"
"Big Sur Square Arm Deep Seat Leather Sofa (76""–105"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-leather-sofa-collection/?pkey=cbig-sur-sofas-sectionals,"3,739","4,899","images/Big_Sur_Square_Arm_Deep_Seat_Leather_Sofa_(76""–105"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
Big Sur Square Arm Chair,https://www.potterybarn.com/products/big-sur-square-arm-upholstered-armchair/?pkey=cbig-sur-sofas-sectionals,"1,314","2,299",images/Big_Sur_Square_Arm_Chair.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat Slipcovered Chaise Sectional (114""–156"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-slipcovered-sofa-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"3,909","6,748","images/Big_Sur_Square_Arm_Deep_Seat_Slipcovered_Chaise_Sectional_(114""–156"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
